section,label,value
Responses by role,Unknown,1
Responses by role,Content Strategist,6
Responses by role,Product Manager,6
Responses by role,Ux Designer,10
Responses by role,Ux Researcher,12
Average years of experience,avg_experience,7.1
Top 5 satisfaction scores,Priya Nair,5
Top 5 satisfaction scores,Fatima Al-Rashid,5
Top 5 satisfaction scores,Lena Kowalski,5
Top 5 satisfaction scores,Noel Adeyemi,5
Top 5 satisfaction scores,Marco Di Luca,5
Products that received insights,Asana,
Products that received insights,Dovetail,
Products that received insights,Figma,
Products that received insights,Jira,
Products that received insights,Notion,
Products that received insights,Sketch,
Products that received insights,Vs Code,
